horas_estudo_semana,taxa_frequencia_pct,resultado_final
0.5,96,Reprovado
3.9,67,Reprovado
3.4,91,Recuperacao
2.7,79,Reprovado
4.7,79,Recuperacao
2.4,100,Reprovado
3.7,87,Recuperacao
3.3,93,Recuperacao
3.3,82,Recuperacao
4.6,95,Recuperacao
2.2,54,Reprovado
7.4,80,Aprovado
5.7,80,Aprovado
6.1,84,Aprovado
2.6,61,Reprovado
5.8,67,Recuperacao
0.7,76,Reprovado
4.7,70,Recuperacao
2.2,89,Reprovado
8.5,65,Recuperacao
11.3,74,Recuperacao
3.0,71,Reprovado
4.5,64,Reprovado
4.7,79,Recuperacao
6.2,78,Aprovado
2.8,87,Reprovado
5.6,81,Aprovado
6.6,80,Aprovado
5.5,69,Recuperacao
6.1,70,Recuperacao
4.3,78,Recuperacao
5.5,71,Recuperacao
6.4,94,Aprovado
6.5,72,Recuperacao
5.0,76,Aprovado
6.7,63,Reprovado
5.9,73,Recuperacao
8.1,82,Aprovado
5.2,75,Aprovado
1.8,77,Reprovado
3.0,58,Reprovado
6.1,71,Recuperacao
0.0,88,Reprovado
6.6,65,Recuperacao
2.1,72,Reprovado
5.0,82,Aprovado
1.4,83,Reprovado
6.0,74,Recuperacao
7.2,87,Aprovado
6.4,77,Aprovado
3.3,81,Recuperacao
3.3,82,Recuperacao
2.6,77,Reprovado
5.1,83,Aprovado
7.4,94,Aprovado
3.9,90,Recuperacao
3.8,70,Reprovado
3.4,86,Recuperacao
4.9,60,Reprovado
5.9,72,Recuperacao
4.5,61,Reprovado
5.2,71,Recuperacao
6.6,79,Aprovado
5.4,60,Reprovado
1.5,73,Reprovado
0.7,80,Reprovado
3.7,60,Reprovado
0.9,63,Reprovado
4.9,90,Recuperacao
2.9,81,Reprovado
1.9,100,Reprovado
5.7,65,Recuperacao
5.2,87,Aprovado
6.8,72,Recuperacao
6.9,64,Reprovado
9.9,68,Recuperacao
6.5,84,Aprovado
7.1,85,Aprovado
2.7,75,Reprovado
6.7,74,Recuperacao
4.4,77,Recuperacao
1.6,56,Reprovado
6.3,63,Reprovado
2.7,75,Reprovado
1.8,74,Reprovado
3.9,87,Recuperacao
3.9,75,Recuperacao
5.7,87,Aprovado
1.4,74,Reprovado
10.3,82,Aprovado
8.9,78,Aprovado
8.1,87,Aprovado
2.9,71,Reprovado
9.8,66,Recuperacao
0.0,96,Reprovado
6.6,84,Aprovado
1.5,72,Reprovado
2.4,55,Reprovado
4.8,87,Recuperacao
5.7,100,Aprovado
5.1,96,Aprovado
9.2,81,Aprovado
2.4,62,Reprovado
6.2,77,Aprovado
4.1,68,Recuperacao
9.2,96,Aprovado
0.0,78,Reprovado
1.3,61,Reprovado
2.8,85,Reprovado
6.1,63,Reprovado
1.1,90,Reprovado
5.0,66,Recuperacao
5.4,81,Aprovado
1.4,81,Reprovado
2.3,72,Reprovado
2.9,63,Reprovado
7.3,75,Aprovado
5.3,62,Reprovado
6.2,54,Reprovado
12.0,89,Aprovado
4.2,89,Recuperacao
6.6,80,Aprovado
5.8,81,Aprovado
2.5,79,Reprovado
4.6,82,Recuperacao
2.8,71,Reprovado
2.7,80,Reprovado
2.0,85,Reprovado
2.5,75,Reprovado
5.8,74,Recuperacao
5.4,81,Aprovado
3.5,71,Reprovado
4.3,54,Reprovado
4.0,80,Recuperacao
5.4,76,Aprovado
7.2,69,Recuperacao
4.8,59,Reprovado
7.1,68,Recuperacao
5.5,75,Aprovado
8.6,77,Aprovado
5.0,81,Aprovado
3.3,46,Reprovado
0.9,67,Reprovado
6.1,81,Aprovado
2.3,95,Reprovado
0.0,96,Reprovado
7.7,100,Aprovado
6.9,57,Reprovado
5.8,69,Recuperacao
9.8,73,Recuperacao
